Date;Livraison;Année;N° de notice;Page;Catégorie;Sous-catégorie;Langue;Titre;Auteur;Posture;Affichage identitaire;Traducteur;Para-auteur;Nombre de feuilles;Fraction;Nombre de pages;Nombre de volumes;Format;Tirage 1;Illustrations 1;Nombre d'illustrations 1;Type de papier 1;Prix 1;Tirage 2;Illustrations 2;Nombre d'illustrations 2;Type de papier 2;Prix 2;Tirage 3;Illustrations 3;Nombre d'illustrations 3;Type de papier 3;Prix 3;Edition;Lieu d'édition;Imprimeur;Lieu d’impression;Lieu de vente 1;Libraire 1;Lieu de vente 2;Libraire 2;Lieu de vente 3;Libraire 3;Lieu de vente 4;Libraire 4;Lieu de vente 5;Libraire 5;Lieu de vente 6;Libraire 6;Lieu de vente 7;Libraire 7;Lieu de vente 8;Libraire 8;Lieu de vente 9;Libraire 9;Commentaires des bibliographes;Notes (e-BdF);Lien notice catalogue;Nombre de para-auteurs;Type de livre;Type d'illustrations 1;Type d'illustrations 2;Type d'illustrations 3;Lieu de parution;Orfèvre;Liens notice catalogue;LIBRAIRE 1;LIBRAIRE 2;LIBRAIRE 3;LIBRAIRE 4;LIBRAIRE 5;LIBRAIRE 6;LIBRAIRE 7;LIBRAIRE 8;LIBRAIRE 9;Nome;Prénom;Surnom;Sexe;Age;Nationalité;Importance;Biographie;Bibliographie;Nombre de illustrations;Type de papier;Prix
1836/01/02;1;1836;16;215;BELLES-LETTRES;Théâtre;Français;Les assassins sans le savoir. Drame en un acte.;;Anonyme;;;;0 3/4;;24;;in-16;;;;;;;;;;;;;;;;;;Casimir;Paris;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;18;217;BELLES-LETTRES;Romans et Contes;Français;Les aventures de Paul Choppart. Troisième édition, corrigée et augmentée de nouveau par l'auteur.;M. Louis Desnoyers;;;;;20 1/6;;484;2;in-12;;6 lith.;6;;3,75;;;;;;;;;;;;;Mme veuve Poussin;Paris;Paris, rue Coquillière, n. 22;au bureau;Paris, galerie Véro-Dodat, n. 38;Aubert;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;19;216;BELLES-LETTRES;Romans et Contes;Français;Les aventures de Télémaque.;Fénelon;;;;;47;;752;2;in-8°;;;;;6,0;;;;papier vélin;9,0;;;;;;;;Herhan;Paris;Paris, rue de Lille, n. 17;Treuttel et Würtz;;;;;;;;;;;;;;;;;Volumes 58, 59 de la Nouvelle Bibliothèque classique. Le Télémaque y est divisé en 24 livres.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;24;215;BELLES-LETTRES;Théâtre;Français;La chute de l'Empire. Drame épopée, précédé d'une Introduction historique, ou Considérations sur l'avenir de l'Europe.;;Anonyme;;;;15 1/2;;248;;in-8°;;;;;6,0;;;;;;;;;;;;;Everat;Paris;Paris, rue de Seine, n. 33;Paulin;;;;;;;;;;;;;;;;;En vers.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;33;207;BELLES-LETTRES;Poétique et Poésie;Français;Dernières romances de A. F. de Coupigny, suivies d'un hommage du Petit vaudeville au grand Racine, et d'Arlequin jaloux.;A. F. de Coupigny;;;;;5 1/3;;192;;in-18;;;;;;;;;;;;;;;;;;Mme Porthmann;Paris;Paris, Palais-Royal;Delaunay;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;34;215;BELLES-LETTRES;Théâtre;Français;Les deux apprentis. Drame en un acte.;;Anonyme;;;;0 3/4;;24;;in-16;;;;;;;;;;;;;;;;;;Casimir;Paris;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;37;206;BELLES-LETTRES;Poétique et Poésie;Français;Le dix-neuvième siècle. 1829. Satire première.;F. X. de Cellès;;;;;2;;32;;in-8°;;;;;;;;;;;;;;;;;;Baudouin;Paris;Paris, rue de Seine, 54;;;;;;;;;;;;;;;;;;En vers.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;43;225;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;Explications et adieux de Robert Macaire au public, dédié à M. Frédéric Lemaitre.;;Anonyme;;;;1 1/4;;20;;in-8°;;;;;0,25;;;;;;;;;;;;;Berrier;Argenteuil;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;44;226;BELLES-LETTRES;Mythologie et Fables;Français;Fables politiques.;général comte de R***;Anonyme masculin;"Noblesse;Armée et maintien de l'ordre";;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Guiraudet;Paris;;;;;;;;;;;;;;;;;;;Contient quatre fables en vers.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;45;200;BELLES-LETTRES;Introduction et Langues;Français;"Le formulaire général des verbes français, donnant l'orthographe et l'emploi des 225,765 formes des 4,808 verbes français, c'est-à-dire de cinq fois plus de mots qu'il ne s'en trouve dans le Dictionnaire de l'Académie ; ces mots, souvent les plus difficiles, n'ayant encore jamais été donnés. Dictionnaire orthographique.";Ad. Radiguel;;;;;4 1/2;;72;;in-8°;;;;;;;;;;;;;;;;;;Goetschy;Paris;Paris, rue du Bouloi, n. 55;Dupont;Paris, quai Conti, n. 13;Maire-Nyon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;49;215;BELLES-LETTRES;Théâtre;Français;Les frères de lait. Comédie en un acte.;;Anonyme;;;;0 3/4;;24;;in-16;;;;;;;;;;;;;;;;;;Casimir;Paris;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;50;201;BELLES-LETTRES;Introduction et Langues;Français;Grammaire méthodique de la langue anglaise résolvant toutes les difficultés et contenant la prononciation accentuée des mots anglais.;"John Denie;J. Edward Denie fils";Collectif;Liens familiaux;;;5;;120;;in-12;;;;;1,50;;;;;;;;;;;;;Bailly;Paris;Paris, boulevart Montmartre;Saint-Jorre;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;57;208;BELLES-LETTRES;Poétique et Poésie;Français;Jérusalem délivrée. Poëme traduit de l'italien par le prince Lebrun, avec une Notice sur Le Tasse. Traduite de l'italien de Davide Bertolotti, par M. Laass d'Aguen.;Le Tasse;;Noblesse;"prince Lebrun;M. Laass d'Aguen";Davide Bertolotti;16;;384;;in-12;;4 gravures;4;;6;;;;;;;;;;;;;Cosson;Paris;Paris, quai Voltaire, n. 11;Bossange;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;64;199;BELLES-LETTRES;Introduction et Langues;Français;Manuel grammatical, contenant, etc. Quatorzième édition.;Charles-Constant Letellier;;;;;6;;144;;in-12;;;;;;;;;;;;;;;;;;Gratiot;Paris;Paris, rue Neuve-St-Marc, n. 8;Constant Letellier fils;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;70;226;BELLES-LETTRES;Mythologie et Fables;Français;Minerve, l'Aiglon et le Hibou : fable. À son altesse royale le duc de Montpensier.;P. Villiers, ancien capitaine de cavalerie, vétéran de Jemmapes, homme de lettres, chevalier de Saint-Louis et de la Légion d'Honneur;;"Armée et maintien de l'ordre;Contexte géographique;Distinctions honorifiques;Métiers du livre";;;0 1/2;;8;;in-8°;;;;;;;;;;;;;;;;;;Fournier;Paris;;;;;;;;;;;;;;;;;;;Avec un envoi à sa majesté la reine des Français, terminant ainsi : Le hibou qu'à vos pieds on trouvera sans cesse, N'est-il pas votre serviteur? P. Villiers, ancien capitaine de cavalerie, vétéran de Jemmapes, homme de lettres, chevalier de Saint-Louis et de la Légion d'Honneur. Paris, le 1er janvier 1836, rue Pavée-St-André, n. 12.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;71;209;BELLES-LETTRES;Théâtre;Français;Miracle de Notre-Dame, de Robert le dyable, filz du duc de Normandie, à qui il fu enjoint pour ses meffaiz qu'il féist le fol sans parler, et depuis ot nostre seignor mercy de li, et espousa la fille de l'empereur. Publié pour la première fois d'après un manuscrit du quatorzième siècle, de la bibliothèque du roi, par plusieurs membres de la société des antiquaires de Normandie. La Notice historique sur Robert le diable est de M. Achille Deville.;;Anonyme;;;M. Achille Deville;11;;176;;in-8°;;une planche;1;;6,0;;;;;;;;;;;;;Baudry;Rouen;Rouen;Frère;Paris, rue du Coq;Baudry;;;;;;;;;;;;;;;Plus la couverture. La Notice historique sur Robert le diable est de M. Achille Deville.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;82;204;BELLES-LETTRES;Poétique et Poésie;Français;Les nuits. Poëme.;;Anonyme;;;;12 1/4;;196;;in-8°;;;;;;;;;;;;;;;;;;Bourgogne;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;83;225;BELLES-LETTRES;Polygraphes;Français;"Oeuvres complètes de W. Robertson, précédées d'une Notice ; par J. A. C. Buchon. Tome I. (Première partie.)";W. Robertson;;;;J. A. C. Buchon;25;;400;;in-8°;;;;;5,0;;;;;;;;;;;;;Rignoux;Paris;Paris, rue Saint-Georges, n. 11;Desrez;;;;;;;;;;;;;;;;;… livraison du Panthéon littéraire.;Il manque le numéro de la livraison dans les commentaires (JBM).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;85;224;BELLES-LETTRES;Philologie, Critique, Mélanges;Français;L'origine des cartes à jouer.;Paul Lacroix (Jacob, bibliophile);Pseudonyme masculin;Métiers du livre;;;0 3/4;;12;;in-8°;;;;;;;;;;;;;;;;;;Dupuy;Paris;Paris, place du Louvre, n. 12;Techener;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;90;215;BELLES-LETTRES;Théâtre;Français;Les petits espiègles, ou le Moyen de savoir la vérité. Vaudeville en un acte.;;Anonyme;;;;0 3/4;;24;;in-16;;;;;;;;;;;;;;;;;;Casimir;Paris;Paris;marchands de nouveautés;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;101;200;BELLES-LETTRES;Introduction et Langues;Français;Supplément au dictionnaire de l'Académie française, sixième édition, publiée en 1835. Première livraison.;F. Raymond;;;;;3;;24;;in-4°;;;;;0,50;;;;;;;;;;;;;Bourgogne;Paris;Paris, rue Mazarine, n. 34;Gustave Barba;;;;;;;;;;;;;;;;;L'ouvrage est promis en 210 feuilles, c'est-à-dire 37 livraisons.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;107;200;BELLES-LETTRES;Introduction et Langues;Français;Le voleur grammatical, ou Dictionnaire des difficultés de la langue française et des locutions vicieuses les plus répandues, avec leurs solutions appuyées de raisonnemens empruntés aux meilleurs grammairiens. Ouvrage dans lequel on trouve un traité complet du participe, du subjonctif et de la ponctuation. Cinquième édition, revue et corrigée.;Ch. Martin, auteur du Manuel des écoles primaires, membre de l'académie grammaticale de Paris, maître de pension;;"Sociétés savantes;Contexte géographique;Enseignement;Métiers du livre";;;12;;288;;in-12;;;;;2,0;;;;;;;;;;;;;Aug. Delalain;Paris;Paris, rue des Mathurins-Saint-Jacques;Aug. Delalain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;110;209;BELLES-LETTRES;Poétique et Poésie;Anglais;The poetical works of E. L. Bulwer, consisting of O'neill, or the Rebel - the Siamese Twins - Milton - Eugene Aram, a tragedy, etc.;E. L. Bulwer;;;;;25;;400;;in-8°;;;;;5,0;;;;;;;;;;;;;Smith;Paris;Paris, rue Vivienne, n. 18;Galignani;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;111;209;BELLES-LETTRES;Poétique et Poésie;Anglais;The poetical works of E. H. Bulwer, consisting of O'Neill, or the Rebel—the Siamese Twins—Milton—Eugène Aram, a tragedy, etc.;E. H. Bulwer;;;;;25;;400;;in-8°;;;;;5,0;;;;;;;;;;;;;Smith;Paris;Paris, rue du Coq;Baudry;Paris;Amyot;Paris;Truchy;Paris;Th. Barrois;;;;;;;;;;;Collection of ancient and modern British authors. Vol. CXXXI.;Sic pour les initiales E. H. (au lieu de E. L.) (JBM).;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;114;221;BELLES-LETTRES;Romans et Contes;Italien;Ettore Fieramosca, o la disfida di Barletta, racconto di Massimo d'Azeglio. Settima edizione.;Massimo d'Azeglio;;;;;17;;408;;in-12;;;;;4,50;;;;;;;;;;;;;Crapelet;Paris;Paris, rue du Coq, n. 9;Baudry;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/02;1;1836;116;224;BELLES-LETTRES;Philologie, Critique, Mélanges;Portugais;Thesouro da moucidade portugueza ou a moral em acção.;J. Ignacio Roquete;;;;;18;;432;;in-12;;6 gravures;6;;6,0;;;;;;;;;;;;;Rignoux;Paris;Paris, quai Voltaire, n. 11;Aillaud;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;121;221;BELLES-LETTRES;Romans et Contes;Français;Ammalat-Beg : histoire caucasienne.;;Anonyme;;;;25 1/2;;408;;in-8°;;;;;;;;;;;;;;;;;;Duverger;Paris;Paris;Lecointe et Pougin;Paris, quai des Augustins;Legrand et Bergounioux;;;;;;;;;;;;;;;Collection de romans russes.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;128;219;BELLES-LETTRES;Romans et Contes;Français;Le brick : album de mer, scènes de la vie maritime. (Couverture.);;Anonyme;;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;J. Didot aîné;Paris;Paris, rue St-Jacques, n. 59;Louis Janet;Paris, rue St-Honoré, n. 202;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;129;207;BELLES-LETTRES;Poétique et Poésie;Français;Cantique pour la fête de Saint-Nicolas.;M. N. A. G....., avocat;Anonyme masculin;Justice;;;0 1/4;;4;;in-8°;;;;;;;;;;;;;;;;;;Decourchant;Paris;;;;;;;;;;;;;;;;;;;Par M. N. A. G....., avocat.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;137;222;BELLES-LETTRES;Romans et Contes;Français;Contes des fées.;Charles Perrault;;;;;1;;64;;in-32;;8 gravures;8;;;;;;;;;;;;;;;Bacquenois;Paris;Paris, rue des Grands-Augustins, n. 17;Pauquet;Paris, rue du Battoir, n. 19;Debure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;140;206;BELLES-LETTRES;Poétique et Poésie;Français;Cri du cœur, ou Épître à M. Ferdinand-François Chatel, évêque-primat, fondateur de l'église catholique française.;M. Robert (du Var), son disciple;;"Contexte géographique;Autres";;;1 1/2;;24;;in-8°;;;;;;;;;;;;;;;;;;Pinard;Paris;Paris, rue Bourbon-Villeneuve, n. 63;Prevot;Paris, rue du Faubourg-St-Martin, n. 59;église française;;;;;;;;;;;;;;;En vers.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;145;222;BELLES-LETTRES;Romans et Contes;Français;Deux souvenirs.;Marie de l'Epinay;Nom féminin;;;;5;;180;;in-18;;2 gravures;2;;3,0;;;;;;;;;;;;;Proux;Paris;Paris, rue Saint-André-des-Arts, n. 33;Ollivier;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;146;201;BELLES-LETTRES;Introduction et Langues;Français;Dictionnaire portatif et de poche, français-allemand et allemand-français, à l'usage des écoles primaires. Tome Ier. Français-allemand.;Raphaël Herbster;;;;;26 3/4;;428;;in-8°;;;;;;;;;;;;;;;;;;Clerc;Belfort;Belfort;Clerc;;;;;;;;;;;;;;;;;Plus un tableau.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;146;201;BELLES-LETTRES;Introduction et Langues;Français;Dictionnaire portatif et de poche, français-allemand et allemand-français, à l'usage des écoles primaires. Tome II. Allemand-français.;Raphaël Herbster;;;;;28 1/4;;452;;in-8°;;;;;;;;;;;;;;;;;;Clerc;Belfort;Belfort;Clerc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;149;200;BELLES-LETTRES;Introduction et Langues;Français;Du dictionnaire de l'Académie, et des satires publiées à l'occasion de la première édition de ce Dictionnaire.;M. Ch. Nodier;;;;;0 3/4;;12;;in-8°;;;;;;;;;;;;;;;;;;Brun;Paris;Paris, place du Louvre, n. 12;Techener;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;149;200;BELLES-LETTRES;Introduction et Langues;Français;Du dictionnaire de l'Académie, et des satires publiées à l'occasion de la première édition de ce Dictionnaire. (Deuxième article.);M. Ch. Nodier;;;;;0 3/4;;12;;in-8°;;;;;;;;;;;;;;;;;;Brun;Paris;Paris, place du Louvre, n. 12;Techener;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;159;211;BELLES-LETTRES;Théâtre;Français;"La femme du peuple. Drame en deux actes, mêlée de couplets; représenté sur le théâtre des Variétés le 1er décembre 1835.";"M. Dumersan;M. Alexandre";"Collectif;Pseudonyme masculin";;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;Dondey-Dupré;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;160;204;BELLES-LETTRES;Poétique et Poésie;Français;Les feuilles d'album. Prospectus-spécimen.;Charles Rouget;;;;;0 1/2;;4;;in-4°;;;;;;;;;;;;;;;;;;Feissat aîné;Marseille;;;;;;;;;;;;;;;;;;;En vers. Signé : Charles Rouget. Le volume sera in-8°, et contiendra 2.000 vers et deux nouvelles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;161;204;BELLES-LETTRES;Poétique et Poésie;Français;Fontainebleau. Souvenirs poétiques.;baron de Cès Caupenne;;Noblesse;;;2 1/2;;40;;in-8°;;;;;;;;;;;;;;;;;;Petit;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;162;204;BELLES-LETTRES;Poétique et Poésie;Français;Les Français en Afrique : poëme en deux chants, dédié à S. A. R. Mgr le duc d'Orléans.;M. L. de C******;Anonyme;;;;2;;32;;in-8°;;;;;;;;;;;;;;;;;;Mme Delacombe;Paris;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;163;209;BELLES-LETTRES;Théâtre;Français;La France dramatique au XIXe siècle. Livraisons 104 et 105. Opéra-Comique. Le Pré aux clercs.;E. Planard;;;;;1 3/8;;22;;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106. Vaudeville. La Poupée, par Fournier et Arnould. Une feuille 1/4. - 107 et 108. Porte-St-Martin. La Tour de Nesle, par Frédéric Gaillardet et ***. 2 feuilles 1/2. - 109. Variétés. Changement d'uniforme, par M. de'Ennery. Une feuille. 110 et 111. Théâtre-Français. Une Prévention, comédie en trois actes, par Alphonse François et N. Fournier. 2 feuilles. 112. Variétés. Madame Gibou et madame Pochet, pièce grivoise en trois actes, par M. Dumersan. Une feuille 1/4. - 113. Palais-Royal. Est-ce un rêve ? comédie-vaudeville en deux actes, par M. de Rougemont. Une feuille 1/4. - 114 et 115. Opéra-Comique. Fra-Diavolo, opéra comique en trois actes, paroles de M. Scribe. Une feuille 3/4. - 116 et 117. Opéra. Robert-le-Diable, opéra en cinq actes, paroles de MM. Scribe et G. Delavigne. Une feuille 1/4. - 118. Variétés. Le Duel et le déjeuner, par A. Gouffe et Ledoux. Une feuille. 119 et 120. Opéra-Comique. Zampa, par M. Mélesville. Une feuille 3/4. - 121 et 122. Gymnase. Avant, pendant et après, par MM. Scribe et de Rougemont. 2 feuilles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;163;209;BELLES-LETTRES;Théâtre;Français;La France dramatique au XIXe siècle. Livraison 106. Vaudeville. La Poupée.;"Fournier;Arnould";Collectif;;;;1 1/4;;20;;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106. Vaudeville. La Poupée, par Fournier et Arnould. Une feuille 1/4. - 107 et 108. Porte-St-Martin. La Tour de Nesle, par Frédéric Gaillardet et ***. 2 feuilles 1/2. - 109. Variétés. Changement d'uniforme, par M. de'Ennery. Une feuille. 110 et 111. Théâtre-Français. Une Prévention, comédie en trois actes, par Alphonse François et N. Fournier. 2 feuilles. 112. Variétés. Madame Gibou et madame Pochet, pièce grivoise en trois actes, par M. Dumersan. Une feuille 1/4. - 113. Palais-Royal. Est-ce un rêve ? comédie-vaudeville en deux actes, par M. de Rougemont. Une feuille 1/4. - 114 et 115. Opéra-Comique. Fra-Diavolo, opéra comique en trois actes, paroles de M. Scribe. Une feuille 3/4. - 116 et 117. Opéra. Robert-le-Diable, opéra en cinq actes, paroles de MM. Scribe et G. Delavigne. Une feuille 1/4. - 118. Variétés. Le Duel et le déjeuner, par A. Gouffe et Ledoux. Une feuille. 119 et 120. Opéra-Comique. Zampa, par M. Mélesville. Une feuille 3/4. - 121 et 122. Gymnase. Avant, pendant et après, par MM. Scribe et de Rougemont. 2 feuilles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;163;209;BELLES-LETTRES;Théâtre;Français;La France dramatique au XIXe siècle. Livraisons 107 et 108. Porte-St-Martin. La Tour de Nesle.;"Frédéric Gaillard;***";"Collectif;Anonyme";;;;2 1/2;;40;;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106. Vaudeville. La Poupée, par Fournier et Arnould. Une feuille 1/4. - 107 et 108. Porte-St-Martin. La Tour de Nesle, par Frédéric Gaillardet et ***. 2 feuilles 1/2. - 109. Variétés. Changement d'uniforme, par M. de'Ennery. Une feuille. 110 et 111. Théâtre-Français. Une Prévention, comédie en trois actes, par Alphonse François et N. Fournier. 2 feuilles. 112. Variétés. Madame Gibou et madame Pochet, pièce grivoise en trois actes, par M. Dumersan. Une feuille 1/4. - 113. Palais-Royal. Est-ce un rêve ? comédie-vaudeville en deux actes, par M. de Rougemont. Une feuille 1/4. - 114 et 115. Opéra-Comique. Fra-Diavolo, opéra comique en trois actes, paroles de M. Scribe. Une feuille 3/4. - 116 et 117. Opéra. Robert-le-Diable, opéra en cinq actes, paroles de MM. Scribe et G. Delavigne. Une feuille 1/4. - 118. Variétés. Le Duel et le déjeuner, par A. Gouffe et Ledoux. Une feuille. 119 et 120. Opéra-Comique. Zampa, par M. Mélesville. Une feuille 3/4. - 121 et 122. Gymnase. Avant, pendant et après, par MM. Scribe et de Rougemont. 2 feuilles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;163;209;BELLES-LETTRES;Théâtre;Français;La France dramatique au XIXe siècle. Livraison 109. Variétés. Changement d'uniforme.;M. d'Eunery;;;;;1;;16;;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106. Vaudeville. La Poupée, par Fournier et Arnould. Une feuille 1/4. - 107 et 108. Porte-St-Martin. La Tour de Nesle, par Frédéric Gaillardet et ***. 2 feuilles 1/2. - 109. Variétés. Changement d'uniforme, par M. de'Ennery. Une feuille. 110 et 111. Théâtre-Français. Une Prévention, comédie en trois actes, par Alphonse François et N. Fournier. 2 feuilles. 112. Variétés. Madame Gibou et madame Pochet, pièce grivoise en trois actes, par M. Dumersan. Une feuille 1/4. - 113. Palais-Royal. Est-ce un rêve ? comédie-vaudeville en deux actes, par M. de Rougemont. Une feuille 1/4. - 114 et 115. Opéra-Comique. Fra-Diavolo, opéra comique en trois actes, paroles de M. Scribe. Une feuille 3/4. - 116 et 117. Opéra. Robert-le-Diable, opéra en cinq actes, paroles de MM. Scribe et G. Delavigne. Une feuille 1/4. - 118. Variétés. Le Duel et le déjeuner, par A. Gouffe et Ledoux. Une feuille. 119 et 120. Opéra-Comique. Zampa, par M. Mélesville. Une feuille 3/4. - 121 et 122. Gymnase. Avant, pendant et après, par MM. Scribe et de Rougemont. 2 feuilles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1836/01/09;2;1836;163;209;BELLES-LETTRES;Théâtre;Français;La France dramatique au XIXe siècle. Livraisons 110 et 111. Théâtre-Français. Une Prévention, comédie en trois actes.;"Alphonse François;N. Fournier";Collectif;;;;2;;32;;in-8°;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;106. Vaudeville. La Poupée, par Fournier et Arnould. Une feuille 1/4. - 107 et 108. Porte-St-Martin. La Tour de Nesle, par Frédéric Gaillardet et ***. 2 feuilles 1/2. - 109. Variétés. Changement d'uniforme, par M. de'Ennery. Une feuille. 110 et 111. Théâtre-Français. Une Prévention, comédie en trois actes, par Alphonse François et N. Fournier. 2 feuilles. 112. Variétés. Madame Gibou et madame Pochet, pièce grivoise en trois actes, par M. Dumersan. Une feuille 1/4. - 113. Palais-Royal. Est-ce un rêve ? comédie-vaudeville en deux actes, par M. de Rougemont. Une feuille 1/4. - 114 et 115. Opéra-Comique. Fra-Diavolo, opéra comique en trois actes, paroles de M. Scribe. Une feuille 3/4. - 116 et 117. Opéra. Robert-le-Diable, opéra en cinq actes, paroles de MM. Scribe et G. Delavigne. Une feuille 1/4. - 118. Variétés. Le Duel et le déjeuner, par A. Gouffe et Ledoux. Une feuille. 119 et 120. Opéra-Comique. Zampa, par M. Mélesville. Une feuille 3/4. - 121 et 122. Gymnase. Avant, pendant et après, par MM. Scribe et de Rougemont. 2 feuilles.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
